result,head-shape,head-surface,head-color,lesions,odor,gill-attachment,gill-spacing,gill-size,gill-color,body-shape,body-surface-above-neck,body-surface-below-neck,body-color-above-neck,body-color-below-neck,foot-type,foot-color,number-heads,eye-type,tattoo-print-color,population,habitat
friendly,b,y,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m
friendly,b,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m
friendly,b,s,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m
dangerous,f,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,g
friendly,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m
friendly,x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m
friendly,f,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,y,u
friendly,x,s,y,t,a,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d
friendly,b,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m
dangerous,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,u
friendly,x,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m
friendly,x,y,n,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,y,p
friendly,b,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m
friendly,x,f,y,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d
friendly,s,f,g,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u
dangerous,x,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,u
friendly,x,f,y,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d
friendly,b,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m
friendly,b,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,k,y,p
friendly,x,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,y,u
dangerous,x,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,g
friendly,x,s,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m
friendly,x,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,y,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m
friendly,x,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m
friendly,x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,p
friendly,f,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,s,p
friendly,x,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,k,s,g
friendly,x,s,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g
friendly,b,s,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m
dangerous,x,y,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u
dangerous,x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u
friendly,b,y,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,m
friendly,f,f,g,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,a,g
friendly,b,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,g
friendly,x,y,n,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,y,p
friendly,s,f,g,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u
friendly,b,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m
friendly,b,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m
friendly,b,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m
friendly,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g
friendly,f,s,n,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,k,a,g
friendly,x,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,g
friendly,f,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,g
friendly,x,y,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,g
friendly,x,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u
friendly,f,f,y,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d
friendly,b,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m
friendly,f,f,y,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d
friendly,x,y,n,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,s,p
friendly,b,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g
friendly,f,s,y,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d
friendly,x,s,w,t,l,f,w,n,n,t,s,s,w,w,p,w,o,p,u,v,d
friendly,f,y,n,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,y,p
dangerous,x,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,u
friendly,f,y,n,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,g
friendly,x,s,n,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,n,s,g
dangerous,x,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,s,g
friendly,f,f,g,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,n,y,u
friendly,x,f,g,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,s,g
friendly,x,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,s,g
friendly,x,s,n,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,k,s,g
friendly,b,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g
friendly,f,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,g
friendly,s,f,n,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,u
friendly,x,f,n,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,n,y,u
friendly,b,s,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m
friendly,x,s,n,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,n,a,g
friendly,x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g
friendly,f,y,n,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,s,g
friendly,x,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g
friendly,b,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,f,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g
friendly,b,s,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g
friendly,f,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,g
friendly,x,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,k,y,p
friendly,b,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m
friendly,x,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,g
friendly,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m
friendly,b,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m
friendly,x,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,m
friendly,x,s,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,g
friendly,s,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,y,u
friendly,x,f,w,t,a,f,w,n,w,t,s,s,w,w,p,w,o,p,u,v,d
friendly,x,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m
dangerous,x,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,u
friendly,x,y,y,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,s,g
friendly,s,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,y,u
friendly,x,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,g
friendly,x,s,y,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,u,v,d
friendly,s,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,y,u
dangerous,x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,g
friendly,x,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m
dangerous,f,y,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,g
friendly,f,s,g,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g
friendly,x,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m
friendly,x,s,w,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,k,s,g
friendly,b,s,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,g
friendly,f,f,g,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,a,g
friendly,x,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g
friendly,b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m
friendly,b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g
friendly,b,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,m
friendly,f,s,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,u,v,d
friendly,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m
friendly,f,s,w,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d
dangerous,x,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,u
friendly,f,f,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d
friendly,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g
dangerous,x,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,g
friendly,b,s,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,p
friendly,b,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m
friendly,s,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u
friendly,f,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,p
friendly,x,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,g
friendly,x,f,g,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,f,w,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,n,a,g
friendly,x,y,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m
friendly,b,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,g
friendly,b,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m
friendly,x,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,s,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,n,a,g
friendly,x,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g
friendly,s,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u
friendly,x,s,w,t,a,f,w,n,w,t,s,s,w,w,p,w,o,p,u,v,d
friendly,x,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,s,g
friendly,b,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,y,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g
friendly,b,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m
friendly,b,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g
friendly,b,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m
friendly,b,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g
friendly,x,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,y,u
friendly,f,y,n,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,g
friendly,x,y,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,g
friendly,f,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,p
friendly,b,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g
friendly,b,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,m
friendly,x,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,g
friendly,b,s,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,y,u
friendly,b,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,f,y,t,l,f,w,n,n,t,s,s,w,w,p,w,o,p,u,v,d
friendly,b,y,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g
friendly,f,y,y,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,s,g
friendly,b,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m
friendly,b,y,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,m
friendly,b,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m
friendly,b,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g
dangerous,x,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u
friendly,s,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,y,u
friendly,f,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,v,u
friendly,x,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m
friendly,f,y,n,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,s,p
dangerous,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,g
friendly,b,s,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m
friendly,f,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,u
friendly,b,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,p
friendly,x,f,w,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,k,s,g
friendly,x,s,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d
friendly,b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,m
friendly,f,s,y,t,a,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d
friendly,x,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m
friendly,f,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,y,u
friendly,b,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,s,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m
friendly,x,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m
friendly,f,s,w,t,a,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d
friendly,x,y,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g
friendly,b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,g
friendly,x,f,w,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,k,s,g
friendly,f,y,n,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,k,y,p
dangerous,x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u
friendly,b,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g
friendly,b,s,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m
friendly,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g
friendly,b,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,g
friendly,x,s,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g
friendly,b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m
friendly,x,f,y,t,a,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d
friendly,x,f,g,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,n,y,u
friendly,f,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,g
friendly,b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m
friendly,x,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g
friendly,s,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u
friendly,x,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m
dangerous,x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,g
friendly,f,f,w,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d
friendly,x,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m
friendly,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g
dangerous,x,y,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,u
friendly,b,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,f,g,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,k,y,u
dangerous,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,u
friendly,x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,p
friendly,f,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u
friendly,b,s,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,f,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d
friendly,x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g
friendly,b,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,k,s,g
friendly,f,y,y,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,s,p
friendly,f,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,p
friendly,x,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m
dangerous,x,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,u
friendly,f,f,w,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,u,v,d
friendly,x,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,s,w,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,u,v,d
friendly,x,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m
friendly,f,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,p
friendly,x,s,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g
friendly,f,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,g
dangerous,x,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,s,g
friendly,s,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,v,u
friendly,b,y,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,m
friendly,b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g
friendly,b,y,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m
friendly,f,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u
friendly,x,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m
friendly,b,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,g
friendly,b,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m
friendly,f,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,g
dangerous,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,g
friendly,x,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g
friendly,x,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m
friendly,f,f,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,u,v,d
friendly,f,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,v,u
friendly,f,s,g,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,k,a,g
friendly,x,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m
friendly,b,s,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m
dangerous,f,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,s,u
friendly,x,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m
dangerous,f,s,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,v,u
friendly,x,y,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m
friendly,f,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,p
friendly,x,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,p
friendly,f,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,g
friendly,x,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m
friendly,f,f,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,s,g
friendly,x,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m
dangerous,x,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,g
friendly,b,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m
friendly,s,f,n,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u
friendly,x,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m
friendly,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m
friendly,f,y,n,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,k,s,g
friendly,b,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m
friendly,b,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,y,n,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,p
friendly,f,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,y,u
friendly,x,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,y,u
friendly,b,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,g
friendly,x,s,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m
friendly,b,y,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,g
friendly,x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m
friendly,b,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m
friendly,x,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m
friendly,x,f,g,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,k,s,g
friendly,f,s,y,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d
